document,TTR,C,R,MATTR,entropy
01_Celebrated-Cases.txt,0.08,0.77,20.51,0.5,9.18
02_The-Chinese-Bell-Murders.txt,0.09,0.79,25.42,0.52,9.45
03_The Chinese Gold Murders.txt,0.1,0.79,23.61,0.52,9.3
04_The-Chinese-Lake-Murders.txt,0.09,0.78,24.4,0.52,9.39
05_The-Chinese-Nail-Murders.txt,0.09,0.78,21.65,0.51,9.18
06_The-Haunted-Monastery.txt,0.11,0.79,22.49,0.52,9.18
07_The Red Pavilion.txt,0.1,0.79,23.79,0.53,9.28
08_The-Chinese-Maze-Murders.txt,0.08,0.78,23.1,0.51,9.36
09_The-Lacquer-Screen.txt,0.1,0.79,23.63,0.52,9.26
10_The Emperor's Pearl.txt,0.11,0.79,24.2,0.53,9.28
11_The-Monkey-and-the-Tiger.txt,0.12,0.8,23.78,0.52,9.21
12_The Phantom of the Temple.txt,0.1,0.79,24.48,0.53,9.31
13_The Willow Pattern.txt,0.11,0.8,24.61,0.53,9.33
14_Murder in Canton.txt,0.1,0.79,25.11,0.53,9.41
15_Judge Dee at Work.txt,0.1,0.79,24.44,0.52,9.37
16_Necklace-and-Calabash.txt,0.12,0.8,25.18,0.53,9.28
17_Poets-and-Murder.txt,0.11,0.8,25.45,0.54,9.4
